timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,IdleTime,Connect
1715210636365,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-3,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210636365,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-2,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210636365,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210639375,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-2,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210639375,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210639375,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-3,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210642383,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-3,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210642383,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-2,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210642383,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210645397,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210645397,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-3,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210645397,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-2,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210648404,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210648404,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-3,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210648419,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-2,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210651414,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-3,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210651414,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-1,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
1715210651430,0,HTTP Request,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in authority at index 8: https://1 /,Irshad-Module 5 - Assessment 1-2,text,false,,1170,0,3,3,https://1 /,,0,UTF-8,1,1,0,0
